year,url
1997,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0964830597000218
1997,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0021967396010503
1997,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0925400597803139
1997,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0039914097001069
1997,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0165237097000648
1997,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0040603197001020
1997,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0378427496038489
1997,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S002196739700335X
1997,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0379073896020750
1997,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S016727389784012X
1997,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S016523709700065X
1997,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S004060319700097X
1997,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0969806X96001053
1997,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0003267097001797
1997,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S014139109700013X
1997,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0165237096009564
1997,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0254058497800727
1997,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0021967397005554
1997,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0378382096010740
1997,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0003267096004837
1997,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0141391096002182
1997,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0045653597002129
1997,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0022328X96066466
1997,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0045653596003748
1997,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0048969796054198
1997,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0166111697800143
1997,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0048969796054204
1997,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S105435890860201X
1997,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0143400497900114
1997,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0011502997900249
1997,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0079670097000099
1997,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0961953497000299
1997,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S1383571896000708
1998,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0021967398007481
1998,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0032386197004928
1998,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0141391097002590
1998,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0921344998000408
1998,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0010218098000194
1998,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0141391097001006
1998,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S1359835X98000475
1998,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0141391097000645
1998,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S1359835X97001322
1998,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0021967398007511
1998,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0045653598002975
1998,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0014305797002036
1998,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0008622398000827
1998,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0375674297000605
1998,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S1382668998000362
1998,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0269749198000797
1998,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0043135497004181
1998,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0032386197103263
1998,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0956053X98001214
1998,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0141391097001699
1998,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0032386197100180
1998,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0032386197103640
1998,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0360132397000553
1998,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0011227597001203
1998,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0141113697000913
1998,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0040603198005000
1998,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0039914097003901
1998,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0021967398003495
1998,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0045653598001441
1998,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0045653598003269
1998,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0141391097001420
1998,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0014305797002632
1998,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0082078498805390
1998,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0014305798000081
1998,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0045653598001301
1998,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0378427498003348
1998,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S1011134498001882
1998,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0039914097003433
1998,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0045653597102508
1998,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0026271498001292
1998,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0378429098001129
1998,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0021967398004415
1998,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0079670097000282
1998,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0141391097001341
1998,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0015028298002532
1998,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S1352231098800022
1998,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0016236197002251
1998,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0165237098000606
1998,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S004896979700332X
1998,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0261306998000090
1998,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0379677998000174
1998,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0082078498801483
1998,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0048969798001144
1998,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0269749198000232
1998,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0891584997002773
1998,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0045653597101333
1998,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0045653598002306
1998,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S1369703X97000119
1998,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0079670097000270
1998,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0167924498800280
1998,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0306987798901943
1999,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0141391098001396
1999,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0141391098001360
1999,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0950061899000227
1999,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0014305798002092
1999,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0045653599000399
1999,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0141391098001505
1999,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0032386198006466
1999,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0141391099000701
1999,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S014139109800202X
1999,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0032386198006806
1999,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S014139109900052X
1999,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0014305798002341
