,0
diaminodiphenylmethane,2
aluminum phosphinate,2
sodium,2
MoS2,2
ammonia,2
Dittrich B,2
Kandola B,2
Hoffman K,2
organophosphate ester flame,2
carbon dioxide,2
Co(OH)2,2
(DOP)2,2
HCCP,2
Kuan C-F,2
alcohol,2
Hofmann D,2
TDBPP,2
Xu F,2
phosphorus pentoxide,2
P2O5,2
Graphite oxide,2
DOPO-rGO,2
hexabromocyclododecane,2
terphathaldialdehyde,2
retardants-graphene,2
polyimides,2
graphene-filled,2
tetrabromobisphenol A,2
Mülhaupt R,2
aluminium hydroxide,2
Monit,2
phenyl dichlorophosphate,2
aromatic phosphates,2
tri-ortho-cresyl phosphate,2
phosphomolybdic acid,2
BA-(DOP-S)2,2
Ni(OH)2,2
Kuan H-C,2
aluminum hypophosphite,2
aluminum,2
"phosphates and 5, 5, 5’, 5’, 5”, 5”-hexamethyltris (1, 3, 2-dioxaphosphorinanemethan) amine 2, 2’, 2”-trioxide",1
"1,2-Bis(5,5-dimethyl-1,3,2-dioxyphospacyclohexane phosphoryl amide) ethane",1
PPSPB-rGO,1
"1,2-bis(5,5-dimethyl-1,3,2-dioxyphospacyclohexane phosphoryl amide) ethane",1
Jean I-Y,1
Alloul O,1
metaphosphonic acid,1
-copper tin sulphide,1
-Si–O–C,1
vinyl triethoxysilane,1
Wei H-F,1
grapheme,1
DTG,1
Polyamide 6,1
polyhedral oligomeric silsesquioxanes,1
polyethylene glycol mono-methyl ether 750,1
Lu S,1
polycyclic aromatic hydrocarbon,1
Density Polyethylene,1
Bolotin KI,1
Fe3O4,1
silicon dioxide,1
NH2,1
Seo J-M,1
Li C,1
Sepiolite,1
low density polyethylene,1
benzoxazines,1
Ni-Ce,1
poly(ethylene glycol) bis-amines,1
flour-polypropylene,1
Koziol,1
HPCP,1
559-564,1
Higginbotham AL,1
Acyclic diene,1
Montmorillonite,1
styrene-butyl acrylate,1
DMMP,1
Phosphazene,1
Li F,1
PUF,1
Laoutid F,1
Li L-J,1
Phosphoric acid,1
boron nitride,1
graphite-methyl methacrylate-acrylic acid,1
Styrene–ethylene–butylene–styrene,1
Zhou S,1
organic,1
vinyl chloride,1
Su S,1
-polystyrene,1
Vinyl,1
α-FeOOH,1
Fullerenes,1
CNF,1
oxide,1
bisphenol a polycarbonate,1
H2SO4-GICs,1
high density polyethylene,1
MnCo2O4,1
Patel K,1
K.C,1
hexa-phenoxy- cyclotriphosphazene,1
EP,1
APTES,1
H2O2,1
melamine cyanurate,1
Ziegler,1
Pornwannchai W,1
polydimethylsiloxane,1
Rothenberg S,1
Qiu S,1
Liu H,1
dicyclopentadiene,1
Bromine,1
"2,6-dimethyl -2,4-heptadiene",1
Plenum,1
ZnCO3,1
Basic magnesium carbonate,1
Balandin AA,1
Clariant's Sandoflam 5070,1
–OH,1
32O2–36O2,1
alkene,1
dienes,1
Sb,1
atactic-polypropylene,1
Kocjan A,1
poly(vinyl alcohol) [61],1
Manganese dioxide,1
acetone,1
Karuppusamy S,1
SiO2·12WO3·26H2O,1
tin,1
Aelmans N,1
Butylkina,1
Sb–Br,1
carbonyl,1
"2,4-dimethyl-1-heptene",1
phosphonates,1
2-methyl-1-octene,1
Wan Y-J,1
cetyltrimethyl ammonium bromide,1
aluminium hypophosphite,1
polypropylene-nanocomposites,1
C–C,1
CannelongoPhosphine,1
hydrogen bromide acid,1
ammonium,1
antimony–bromine,1
Metal hydrate,1
Lohstroh W,1
H.C,1
ammonium pyrophosphate–pentaerythritol,1
Koo,1
oxides,1
chloride,1
AldersonDo,1
borosiloxane,1
Polyethylene-red phosphorus,1
organophosphorus oligomer [79],1
pentaerythritol diphosphate,1
cerium phenylphosphonate,1
Wicklein B,1
Polyvinylidene fluoride,1
Wu L-B,1
zinc carbonate,1
octa-aminophenyl,1
-Si-C,1
NiCe x O y  [115],1
Xu P,1
"1-oxo-4-hydroxymethyl-2,6,7-trioxa-1-phosphabicyclo [2,2,2] octane",1
phosphonic acid,1
S.-H,1
phosphonium bromide,1
brominated acrylate,1
J.L,1
ammonium polyphosphate–pentaerythritol,1
"1,3,5-triazines",1
acetaldehyde,1
Acrylonitrile–Butadiene–Styrene copolymer,1
Savides C,1
pyrophosphonic acid,1
2-methyl-4-octene,1
A.H,1
hexachlorocyclotriphosphazene,1
phosphorus–nitrogen,1
polyol hydroxyl,1
epoxy-ring,1
Fe2O3,1
SFR100,1
Greensboro,1
graphene-family,1
PP-FR carbon,1
Pan H,1
phosphite,1
Silica,1
Al2O3,1
N-aminoethyl piperazine,1
sulfuric and acetic acid,1
Bin Sang,1
Graphitic carbon nitride,1
Copper cobaltate,1
ethylenic,1
polylactic acid,1
BaekGraphene phosphonic acid,1
Graphene phosphonic acid,1
Hexa-phenoxy-cyclotriphosphazene,1
al.Graphite oxides,1
Poly(vinyl chloride),1
isocyanate,1
Acrylonitrile-Butadiene-Styrene copolymer,1
boric acid,1
RuoffGraphene,1
Flame retardancy,1
MCC,1
Shiao S-J,1
buckminsterfullerene,1
2-(diphenylphosphino) ethyltriethoxy silane,1
PP,1
2-(diphenylphosphino)ethyltriethoxy silane,1
styrene–ethylene–butylene–styrene,1
PEI,1
Li K-Y,1
Ferriol M,1
sulfur,1
Alumina trihydrate,1
Li K,1
Polybutylene terephthalate,1
PDBPP,1
Li Z,1
Thermoplastic polyurethane,1
Graphene oxide,1
methyl methacrylate-acrylic acid,1
Song H-O,1
High density polyethylene,1
Polycarbonate,1
FangFlame-retardant-wrapped carbon,1
phosphamide,1
O2,1
ZrO2,1
polyethersulfone,1
2-(Diphenylphosphino) ethyltriethoxy silane,1
Bisphenol A bis(diphenyl phosphate),1
potassium hydroxide,1
ferrocene,1
3-aminopropyltriethyoxylsilane,1
Polycyclic aromatic hydrocarbon,1
Polybutylene succinate,1
poly(dimethylsiloxane),1
ammonium poly(phosphate),1
483-488,1
Ge C,1
Wartig K-A,1
J.N,1
panelXinWangabEhsan NaderiKalaliaJin-TaoWanaDe-YiWanga,1
NH,1
Cobalt oxide,1
Organophosphorus heteroaromatic,1
cyclic phosphonate,1
Pentaerythritol,1
octa-aminophenyl polyhedral oligomeric silsesquioxanes,1
79-107,1
PAA,1
Poly(piperazine spirocyclic pentaerythritol bisphosphonate),1
Du,1
Carbon aerogels,1
borates,1
poly (L-lactide),1
C,1
Poly(methyl methacrylate),1
sodium alginate,1
Chen S,1
graphitic oxide,1
CuCo2O4,1
Cone calorimetry,1
sulphate,1
10-Dihydro-9-oxa-10-phosphaphenanthrene-10-oxide,1
11 pp,1
poly(piperazine spirocyclic pentaerythritol bisphosphonate),1
Fu S,1
carbonyl chloride,1
organosilicon,1
Poly(acrylic acid),1
4-butylene terephthalate,1
pyro,1
260-264,1
"2.6k
Downloads",1
Ethylene-vinyl-acetate copolymer,1
"Poly(4,4-diaminodiphenylmethane-O-bicyclicpentaerythritol phosphate-phosphate)",1
buckyball,1
P,1
ethanol,1
poly(ethylene-co-vinyl acetate),1
silicon oxide,1
diamond,1
poly (vinyl butyral-co-vinyl alcohol-co-vinyl acetate),1
polyvinylidene fluoride,1
CBP,1
Carbon nitride,1
Macromol Res,1
Polyethylenimine,1
883-888,1
lactic acid,1
Kuo W-J,1
Carbon nanotube,1
(1)H,1
Polyetheretherketone,1
Tanemura S,1
triethyl phosphate,1
Acrylonitrile–butadiene–styrene copolymer,1
Alden,1
Dimethyl methylphosphonate,1
Macromol,1
(2)O,1
Carbon nanofiber,1
Ser,1
PEEK,1
Ran S,1
Polystyrene,1
SOCl2,1
Pyrolysis-GC–MS,1
DPPES-graphene,1
P-N,1
Waterborne polyurethane,1
CuO,1
Li X,1
Duquesne S,1
PA-6,1
vinyl alcohol,1
copper cobaltate,1
PVDF,1
poy(butylene succinate),1
Polylactide,1
polyurethanes,1
"4,4-diaminodiphenyl methane",1
organo,1
chlorine,1
Ran,1
butylene succinate,1
spirocyclic pentaerythritol bisphosphorate disphosphoryl chloride,1
MnCo2O4 [38],1
potassium permanganate,1
PET,1
phosphorus acids,1
linked polyethylene,1
(3)L,1
poly (ε-caprolactone)-layered silicate,1
carbonaceous-silicate,1
Pan Y-T,1
semi-rigid polyurethane foams,1
Polyethylene terephthalate,1
FeOOH,1
S.H,1
dipentaerythritol,1
AMLR,1
Poly(vinyl alcohol),1
S,1
6 pp,1
Tan,1
H2,1
Soheilmoghaddam M,1
Hone,1
Hou S,1
Bai Z-M,1
poly (ethylene vinyl acetate),1
K.I,1
Polyethylene,1
graphene-reinforced poly (butylene succinate),1
Al(H2PO2)3,1
ABS resin,1
Low density polyethylene,1
Laachachi A,1
g-C3N4,1
Janković A,1
silicon-phosphorus oligomer [81],1
Lopez-ManchadoCarbon,1
Raman spectroscopy,1
sulphuric acid,1
Polyphosphamide,1
Si-P,1
amides,1
2-methyl-2-octene,1
Ohishi H,1
Broman D,1
diethyl phosphinic acid,1
Aromatic phosphates,1
DOP,1
naphthol-advanced,1
Nitrogen,1
"Rosenkranz H.S. Tris(2,3-dibrompropyl)phosphate",1
allylic amides,1
Figure 9,1
PBB,1
Wirasaputra A,1
Scheme 6,1
Figure 22,1
Schartel,1
Polybrominated Biphenyls,1
Tel,1
Figure 11,1
diglycidyl ester,1
epoxy-resins,1
Figure 6,1
Zammarano M,1
"2-(6-oxido-6H-dibenzo[c,e][1,2]oxaphosphorin-6-yl)1,4-benzenediol",1
Cl,1
Schmitz H,1
Figure 10,1
GEO DataSets,1
allylic-oxygen,1
dihydric phenol,1
Figure 17,1
Scheme 2,1
boehmite,1
THIC,1
white phosphorus,1
Search databasePMC,1
(SICI)1097-4628(19981205)70,1
Phosphate esters,1
Figure 4,1
Scheme 5,1
polycarbonates,1
Figure 19,1
Figure 21,1
Aluminium Phosphinate,1
naphthalene,1
anhydrides,1
Aluminum Hydroxide,1
epoxide,1
cadmium,1
Ethers,1
biphenol,1
Piotrowski A,1
Ho MJ,1
Figure 13,1
Aluminum-oxide-hydroxide,1
Scheme 7,1
"2-(6-Oxido-6H-dibenzo[c,e][1,2]oxa-phosphorin-6-yl)1,4-benzenediol",1
"5,5-Dimethyl-[1,3,2]dioxaphosphinane 2-oxide",1
benzoquinone,1
Hoikkanen M,1
Androl,1
TBBA,1
phenyl,1
"2,3,4,5-tetrabromobenzoic acid",1
hydroxyl triphenyl phosphate,1
Mendelsohn E,1
BBOEP,1
Organophosphate ester flame,1
DmCP,1
BEHP,1
Zwinderman AH,1
Schütze A,1
serine,1
Ismail IMI,1
phthalate esters,1
Lindh CH,1
phosphate ester flame retardantsGoogle,1
Hefferman AL,1
sphingolipid,1
Halldorson T,1
TCPE,1
dialkyl thiophosphates,1
polybromobenzene,1
Voorspoels S (2015b),1
TDCPP,1
Nielsen F,1
monoesters,1
Lorenzo K,1
diaryl phosphates,1
LI DQ,1
"2-(5, 5-dimethyl-4-phenyl-2-oxy-1,3,2-dioxaphosphorin-6-yl)-1,4-benzenediol",1
Chromatogr B 880:66–73CrossRefGoogle,1
Chromatogr B 877:375–381CrossRefGoogle,1
Sudaryanto A,1
Van,1
organophosphate diesters,1
Technol 50:7752–7760PubMedCrossRefGoogle,1
isopropylphenyl phenyl phosphate,1
Lorenzo AM,1
tetrabromobisphenol a,1
bis(diphenylphosphate),1
"tris(2,3-dibromopropyl)phosphate",1
di-ortho-cresyl phosphate,1
ipPP,1
polyphenylene oxide,1
thyroid hormone,1
Technol 48:13625–13633PubMedCrossRefPubMedCentralGoogle,1
Lett 223:9–15PubMedCrossRefGoogle,1
Technol 50:12439–12445PubMedCrossRefGoogle,1
Shen H,1
Gallen C,1
14 monoalkyl phosphates,1
"1
Citations",1
phthalates,1
Romano ME,1
Badman A,1
Organophosphates,1
di-meta-cresyl phosphate,1
mercury,1
HBCD,1
Figure 12,1
"2-(6-oxid-6H-dibenz(c,e)(1,2) oxaphosphorin-6-yl) 1,4-benzenediol",1
DPODB,1
amines,1
Lahokallio S,1
Amine,1
phosphoric acids,1
dicyanate ester,1
diamine,1
GEO Profiles,1
calcium salts of dialkyl phosphinates,1
Melamine Cyanuarte,1
Packag,1
Figure 14,1
(SICI)1097-4628(19991114)74:7<1635,1
Bisphenol A,1
Polyphosphonate,1
aliphatic hydrocarbons,1
poly(metal phosphinate)s,1
"polyamide 6,6",1
Tris(2-hydroxyethyl) isocyanurate,1
SNP,1
diamines,1
Figure 16,1
aramide,1
Scheme 1,1
dicyandiamide,1
Epoxy Resins,1
Epoxide,1
Phosphonate,1
oligomers,1
"5,10-dihydro-phosphosazine-10-oxide",1
aromatic amine-cured glycidyl ether,1
PubChem BioAssay,1
hydroquinone,1
Boehmite,1
C-N,1
bridged aromatic phosphates,1
"Poly(1,3-phenylene methylphosphonate)",1
organosilanes,1
Polybrominated biphenyl,1
"9,10-Dihydro-9-oxa-10-phosphaphenanthrene 10-oxide",1
Google+,1
"poly(1,3-phenylene methylphosphonate)",1
(SICI)1097-4628(19970214)63:7<895,1
NIH,1
Figure 20,1
Burreau S,1
triphenylphosphine oxide,1
hydrogen phosphonates,1
PH3,1
allylic-nitrogen,1
Vandersall H.L,1
Phosphates,1
PubChem,1
ToolKitAll,1
resorcinol bridged dixylyl phosphate,1
"2-(6-oxid-6H-1,2oxaphosphorin-6-yl)1,4-benzenediol",1
Ho T.H,1
R-(DDP-O)2,1
How To,1
Figure 15,1
diethyl phosphinate,1
Rosendranz HS,1
tris(2-hydroxyethyl) isocyanurate,1
aluminium phosphinates,1
"5,10-Dihydrophosphosazine-10-oxide",1
DIN,1
bisphenol A bridged diphenyl phosphate,1
Halogenated flame,1
(SICI)1099-0518(19991101)37,1
Scheme 3,1
Figure 7,1
aminophenylmethylphosphine oxide—II,1
Stephen A.M,1
Polyphosphoric acid,1
Aluminium diethyl phosphinates,1
phosphoramidates,1
dihydroxy benzophenone,1
All Databases,1
OctaBDE,1
Polybrominated Diphenyl,1
phenol-novolac,1
GSS,1
aluminium diethyl phosphinates,1
Metal Hydroxides,1
Ammonium Polyphosphate,1
"4,4’-diamino- diphenylsulfone",1
chromium,1
PMCID,1
Figure 8,1
"2-(6-oxido-6H-dibenz(1,2)oxaphosphorin-6-yl)-1,4-naphthalenediol",1
phosphinate,1
Fyrolflex RDP,1
Figure 2,1
Methacrylate,1
Melamine Polyphosphate,1
Figure 1,1
"Poly(1,4-butylene terephthalate)",1
polyphosphoric acids,1
diglycidyl ether of bisphenol A,1
OMIM,1
bisphenol A bridged diphenyl phosphates,1
arylalphosphinic acids,1
H2O,1
NLM,1
Chen CH,1
ASTM D-635-77,1
"9,10-dihydro-9-oxa-10-phosphaphenanthrene 10-yl-tris(4-aminophenyl) methane",1
DHHS,1
dialkyl phosphinates,1
Scheme 4,1
PreferencesTurn off,1
Lin CH,1
"Hermann-von-Helmholtz Platz 1, 76344 Eggenstein-Leopoldshafen",1
Pagliuca A,1
Polyester,1
Yi H,1
acrylonitrile butadiene,1
chloroparaffin–metal,1
Ammonium polyphosphates,1
"αω,-diamines",1
cyclic phosphate esters,1
polypropylenes,1
tin oxide (SnO2),1
N.S. Allen,1
Phosphonate-isocyanurates,1
calcium carbonate,1
Blatz PS,1
ethylene,1
phosphorus oxides,1
maleic anhydride,1
Serie III,1
HCl,1
"1,2-dibromo-4-(α,β-di-bromoethylcyclohexane)",1
Chlorinated paraffins,1
hydrogen halide,1
HMSO,1
bromobiphenols,1
iron,1
AAm,1
CH2CH(CH3),1
Hordaresin,1
melamine borate→melamine boric anhydride,1
Organo-antimony,1
MAA,1
Silicon–oxygen,1
Phosphines,1
Cline BL,1
aromatic cyclic phosphazenes,1
Nachbur H,1
dibasic lead phthalates,1
Phosphonitrilic esters,1
245-284,1
Hindered amine,1
R.W. Moncrieff,1
SnCl2,1
150-164,1
Stein,1
boron,1
Tertiary phosphine oxide–ammonium polyphosphate,1
Fontani S,1
LevendisParticulates,1
phosphine oxides,1
PantoustierPoly(ϵ-caprolactone),1
dibenzofuranes,1
polyol,1
NH 1197,1
Aluminum trihydrate,1
halogenated dibenzodioxines,1
pentabromobenzyl acrylate,1
dibromostyrene,1
NH 1511,1
aliphatic,1
POSS-GO-DOPO,1
ethylene bis-dibromobornane dicarboximide,1
alkyl,1
alicyclic halogen,1
tin–halogen,1
Triphenyl phosphate,1
CheungPolypropylene,1
PP-g-AA,1
benzoyl peroxide,1
halo- and halo-aryl,1
J.R.A,1
urea,1
TiO2[151],1
TiO2[176],1
methacrylic acid,1
halogenated phosphate,1
brominated polyacrylate,1
DBDPO,1
dibutyltin glutaconate,1
vinyl ester,1
